"","X.1","X","ID","NameOfPDF","Author","DOI","CodingFinished","Screener","Extracter","DataExtracted","Extraction.Suitable","ExtractionComments","Sampled_Soil_Available_notpH","FullyFactorial","SpatialExtent.km2.","Country","Season.s.","ExperimentObservation","Method","LandUse","LandIntensification","HabitatLossFragmentation","Climate","Pollution","InvasiveSpp","NutrientEnrichment","PollutionSource","OtherBiodiversity","EcosystemFunction","Case_ID","CaseDescription","Latitude","Longitude","SamplingDuration_months","SoilPH","PollutionType","PollutantClass","PollutionName","SecondaryPollution","TreatmentDescription","Control_absValue","Control_absValueUnit","Treatment_absValue","Treatment_absValueUnit","TaxaGroup","TaxaBodysize","Control_mean","Control_SD","Control_N","Treatment_mean","Treatment_SD","Treatment_N","Measurement","MeasurementUnits","Error","Data_Source","System","ColdDrySystems","WetlandSystems","AgricultureType","Tillage","WoodyType","WoodyUse","Grassland","Agroforestry","ArtificialSystem","SystemComments","SamplingMethod","GeneralComments","TaxonomicResolutionRichness","TaxaGroupings","LongTerm","RecommendedDose","PollutantClass1","PesticideType","Neonicotinoid","SeedCoating","MultiSubstanceWithInsecticide","PollutionNameCorrected","Comments","TaxaGroupGSBA","BodySizeCat","BiodivMetric","RecommendedRate","LongTerm2","RepeatedApplication","TemporalExtent","ES","VarES","Control_SD_approx","Treatment_SD_approx","ES2","VarES2"
"1",1,25,82,"Moser_2004_Ecotoxicology","Moser","10.1023/B:ECTX.0000012407.42358.3e",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"NA (lab experiment)","Netherlands, England, Portugal, Germany",NA,"Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","f","UK, field",NA,NA,0,"6.2","Pesticides","Fungicide","carbendazim","No","Fungicide single application",0,"kg/ha","87.5","kg/ha","Nematodes",NA,92.43243,36.75676,6,283.7838,37.2973,4,"Abundance","ind/cm3","SD","F1","Grassland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","16 weeks after application",NA,"Fungicide","Fungicide","no","no","no","carbendazim",NA,"Nematodes","Microfauna","Abundance","higher","several months (3 < x < 12)","single","months",4.67347678610313,1.50873593017891,36.75676,37.2973,4.67347678610313,1.50873593017891
"2",2,26,82,"Moser_2004_Ecotoxicology","Moser","10.1023/B:ECTX.0000012407.42358.3e",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"NA (lab experiment)","Netherlands, England, Portugal, Germany",NA,"Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","e","Netherlands, field",NA,NA,0,"4.95","Pesticides","Fungicide","carbendazim","No","Fungicide single application",0,"kg/ha","87.5","kg/ha","Nematodes",NA,43.4657,10.54152,6,38.26715,17.18412,4,"Abundance","ind/cm3","SD","F1","Grassland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","16 weeks after application",NA,"Fungicide","Fungicide","no","no","no","carbendazim",NA,"Nematodes","Microfauna","Abundance","higher","several months (3 < x < 12)","single","months",-0.349594762628272,0.422777491569523,10.54152,17.18412,-0.349594762628272,0.422777491569523
"3",3,27,82,"Moser_2004_Ecotoxicology","Moser","10.1023/B:ECTX.0000012407.42358.3e",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"NA (lab experiment)","Netherlands, England, Portugal, Germany",NA,"Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","a","Netherlands, lab",NA,NA,0,"4.95","Pesticides","Fungicide","carbendazim","No","Fungicide single application",0,"kg/ha","87.5","kg/ha","Nematodes",NA,38.6,22.6,6,17.61733,6.064982,4,"Abundance","ind/cm3","SD","F1","Grassland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","16 weeks after application",NA,"Fungicide","Fungicide","no","no","no","carbendazim",NA,"Nematodes","Microfauna","Abundance","higher","several months (3 < x < 12)","single","months",-1.03793770531766,0.470532400672671,22.6,6.064982,-1.03793770531766,0.470532400672671
"4",4,28,82,"Moser_2004_Ecotoxicology","Moser","10.1023/B:ECTX.0000012407.42358.3e",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"NA (lab experiment)","Netherlands, England, Portugal, Germany",NA,"Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","b","UK, lab",NA,NA,0,"6.2","Pesticides","Fungicide","carbendazim","No","Fungicide single application",0,"kg/ha","87.5","kg/ha","Nematodes",NA,204,98.2,6,150.5396,NA,4,"Abundance","ind/cm3","SD","F1","Grassland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","16 weeks after application",NA,"Fungicide","Fungicide","no","no","no","carbendazim",NA,"Nematodes","Microfauna","Abundance","higher","several months (3 < x < 12)","single","months",NA,NA,98.2,NA,NA,NA
"5",5,29,82,"Moser_2004_Ecotoxicology","Moser","10.1023/B:ECTX.0000012407.42358.3e",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"NA (lab experiment)","Netherlands, England, Portugal, Germany",NA,"Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","c","Portugal, lab",NA,NA,0,"6.75","Pesticides","Fungicide","carbendazim","No","Fungicide single application",0,"kg/ha","87.5","kg/ha","Nematodes",NA,4.3,1.3,6,4.187726,1.01083,4,"Abundance","ind/cm3","SD","F1","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","16 weeks after application",NA,"Fungicide","Fungicide","no","no","no","carbendazim",NA,"Nematodes","Microfauna","Abundance","higher","several months (3 < x < 12)","single","months",-0.0844755457248528,0.417023472557942,1.3,1.01083,-0.0844755457248528,0.417023472557942
"6",6,30,82,"Moser_2004_Ecotoxicology","Moser","10.1023/B:ECTX.0000012407.42358.3e",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"NA (lab experiment)","Netherlands, England, Portugal, Germany",NA,"Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","d","Deutschland, lab",NA,NA,0,"5.6","Pesticides","Fungicide","carbendazim","No","Fungicide single application",0,"kg/ha","87.5","kg/ha","Nematodes",NA,64.9,30.2,6,135.4317,25.35971,4,"Abundance","ind/cm3","SD","F1","Grassland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","16 weeks after application",NA,"Fungicide","Fungicide","no","no","no","carbendazim",NA,"Nematodes","Microfauna","Abundance","higher","several months (3 < x < 12)","single","months",2.23546192988155,0.666531168664155,30.2,25.35971,2.23546192988155,0.666531168664155
"7",7,31,82,"Moser_2004_Ecotoxicology","Moser","10.1023/B:ECTX.0000012407.42358.3e",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"NA (lab experiment)","Netherlands, England, Portugal, Germany",NA,"Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","h","Deutschland, field",NA,NA,0,"5.6","Pesticides","Fungicide","carbendazim","No","Fungicide single application",0,"kg/ha","87.5","kg/ha","Nematodes",NA,28.73646,5.487365,6,37.11191,9.819495,4,"Abundance","ind/cm3","SD","F1","Grassland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","16 weeks after application",NA,"Fungicide","Fungicide","no","no","no","carbendazim",NA,"Nematodes","Microfauna","Abundance","higher","several months (3 < x < 12)","single","months",1.01966864336002,0.46865287377925,5.487365,9.819495,1.01966864336002,0.46865287377925
"8",8,32,82,"Moser_2004_Ecotoxicology","Moser","10.1023/B:ECTX.0000012407.42358.3e",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"NA (lab experiment)","Netherlands, England, Portugal, Germany",NA,"Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","g","Portugal, field",NA,NA,0,"6.75","Pesticides","Fungicide","carbendazim","No","Fungicide single application",0,"kg/ha","87.5","kg/ha","Nematodes",NA,8.66426,2.166065,6,9.530686,4.33213,4,"Abundance","ind/cm3","SD","F1","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","16 weeks after application",NA,"Fungicide","Fungicide","no","no","no","carbendazim",NA,"Nematodes","Microfauna","Abundance","higher","several months (3 < x < 12)","single","months",0.247699751246288,0.41973442500504,2.166065,4.33213,0.247699751246288,0.41973442500504
"9",9,33,105,"Navarro-Campos_2012_Biological Control","Navarro-Campos","10.1016/j.biocontrol.2012.07.007",TRUE,"Kate","Helen","Yes","yes-all drivers","Pre-screening: has SDs etc",FALSE,FALSE,"1-10km","Spain","Spring","Observational","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,"a","mites","39d11mN","0d22mW",3,NA,"Pesticides","Insecticide","organophosphate","Yes","The soil surface of the treated plots was sprayed twice with a commercial formulation of chlorpyrifos (Dursban). Two doses!",0,NA,"480; 1.12","g(a.i.)/L; kg (a.i.)/ha","Mites",NA,10.30351438,17.571884984,4,7.747603834,3.03514377,4,"Abundance","individuals","SE","F4","Woody",NA,NA,NA,NA,"Deciduous","Plantation",NA,NA,NA,"Orchard",NA,NA,NA,NA,"82 days","at recommended rate","Insecticide","Insecticide","no","no","no","chlorpyrifos","""organophosphate"" c'est la famille pas la substance active: pesticide used is chlorpyrifos","Acari","Mesofauna","Abundance","at recommended rate","a few months (1 < x =< 3)","multiple","days/weeks",-0.176072569261885,0.501937596852905,17.571884984,3.03514377,-0.176072569261885,0.501937596852905
"10",10,52,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_5","endeostigmatid","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","Endeostigmata","Micro-arthropods",14.1,9.8,240,10.4,8.7,240,"Abundance","ind/ 25 cm2","SD","T4","Woody",NA,NA,NA,NA,"Coniferous","Plantation",NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Acari","Mesofauna","Abundance","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",-0.398667892823542,0.00849889175913371,9.8,8.7,-0.398667892823542,0.00849889175913371
